zip_code,landsqmi,watersqmi,cen10pop,lat,long
02301,12.43,0.17,61025,42.078371,-71.042304
02302,8.89,0.03,32741,42.088123,-70.998293
02322,4.29,0.25,4356,42.1324,-71.05393
02324,27.32,1.09,26563,41.972387,-70.978778
02330,37.4,2.33,11509,41.878046,-70.744138
02332,23.74,4.12,15059,42.044373,-70.706115
02333,17.21,0.33,13794,42.037278,-70.940459
02338,16,1.39,7518,42.003513,-70.863334
02339,15.61,0.08,13879,42.122956,-70.85631
02341,15.05,0.7,10218,42.050335,-70.867161
02343,7.01,0.11,10745,42.148913,-71.003737
02346,68.87,3.08,23106,41.878004,-70.869267
02347,29.77,6.57,10612,41.834474,-70.95704
02351,9.66,0.24,16029,42.119964,-70.957216
02356,13.7,0.32,12564,42.060485,-71.12497
02357,0.48,0.02,1360,42.055136,-71.081416
02359,21.78,1.7,17828,42.067804,-70.805713
02360,95.51,13.11,56271,41.883359,-70.631381
02364,18.66,1.14,12629,41.987196,-70.741942
02366,0.95,0.03,197,41.85057,-70.656046
02367,14.67,0.43,2820,41.9591,-70.802752
02368,10.08,0.59,32158,42.176446,-71.051567
02370,10.31,0.08,17489,42.130399,-70.910615
02375,14.57,0.14,9188,42.003041,-71.076928
02379,15.32,0.35,6916,42.021617,-71.026717
02382,6.94,0.02,14489,42.078974,-70.93939
02420,6.58,0.05,14052,42.457054,-71.215464
02421,9.85,0.16,17342,42.438547,-71.239574
02445,2.6,0.05,20679,42.325483,-71.135045
02446,1.29,0,29311,42.343503,-71.122248
02451,5.52,0.71,17426,42.397823,-71.255708
02452,3.7,0.03,14238,42.392072,-71.218443
02453,3.5,0.28,28968,42.369542,-71.240513
02457,0.16,0,1432,42.299388,-71.274242
02458,2,0.04,12131,42.353409,-71.187882
02459,5,0.08,19095,42.314779,-71.192017
02460,1.34,0.01,8742,42.351824,-71.20849
02461,1.45,0.01,7059,42.317362,-71.206508
02462,0.53,0.03,1554,42.328708,-71.2559
02464,0.56,0.01,2953,42.312975,-71.218882
02465,2.24,0,11710,42.348912,-71.22633
02466,1.79,0.08,8096,42.344457,-71.248617
02467,4.87,0.05,22491,42.314608,-71.15306
02468,1.48,0.02,5273,42.328553,-71.229553
