ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
50058,816,387.6,1062.7,2474.1,5966,339.9,319.6,283.1,380.6,81.2,48.5,3152.3
50059,9,406.6,1090.2,2542.7,6430.4,361.4,339.3,309.9,412.9,82,52.9,3438.7
50060,1072,384.3,1031.6,2461.2,5475,330.4,310.4,270.9,356.2,86,46.6,3131.4
50061,541,477,1193.6,2744.3,9379.8,466.3,437.4,451,642.3,76.2,69.2,4835.4
50062,255,391.4,1055.7,2471.3,5788.2,337.8,317.3,274.8,363.3,79.3,51.2,3389.6
50063,1190,449.1,1160.1,2655.7,8437.4,426.7,400.3,398.3,562.2,76,63.3,4388
50064,49,395.9,1076,2485.8,6371.3,353.8,332.2,304.8,414.6,79.1,48.8,3249.7
50065,279,420.3,1104.8,2598.4,6592.7,372.9,350.5,322.6,432.2,82.7,53.4,3485.3
50066,102,446,1157.5,2658.9,8263.7,423.1,397.4,393.4,541,77.1,63.4,4072.1
50067,159,382.1,1032.5,2444.6,5557.3,334,313.7,276,363.2,82.4,46,3164.1
50068,123,407.3,1068.9,2555.4,5866.7,351.8,330.6,292,379.9,85.8,50.2,3346.7
50069,450,427.9,1136.4,2583.2,7436.9,390.3,367,340.2,468.7,70.3,62.3,4106.1
50070,657,411.9,1103,2543.7,6734.6,368.4,346.1,314,426.1,75.2,56.5,3731.9
50071,442,406.6,1088.2,2559.8,6163.8,356.5,335,301.3,398.5,84.5,48.8,3167.3
50072,1087,426,1131,2583.2,7599.5,393.7,369.7,350.7,486,73.7,61.7,4098.3
50073,393,440.8,1144.2,2583.6,8344.3,417.7,392.1,386.1,550.7,69.5,64.3,4514
50074,217,417.3,1093.1,2638.8,6484.3,378,355.2,328.5,433.3,90.4,49.6,3187.4
50075,325,399.1,1099.2,2512.2,6866.1,365.9,343.6,315.6,441.6,73.8,54.6,3651
50076,656,393.7,1053.5,2498.8,5689.8,337.9,317.5,280.8,369.8,86.9,47.3,3097
