ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
59829,2722,1137,2.96,2.19,58.7,387.14,250459,2.5,45052,54727,24163,47.7,3.04,235527
59830,0,0,,,,,,,,,,,,
59831,480,190,-1.81,2.49,58.2,394.28,86031,2.3,24707,35657,14903,44.4,0,5761
59832,987,419,4.66,2.35,57.4,424.39,133872,2.6,39413,61351,26292,49.3,2.3,609984
59833,5643,2224,2.42,2.55,54.2,803.82,264220,2.7,73704,79939,31421,45.3,3.94,235496
59834,1513,546,1.81,2.72,52.8,992.29,210480,3,89991,95024,35099,44.3,5.65,237357
59835,0,0,,,,,,,,,,,,
59837,211,96,4.6,2.18,58.9,484.98,223132,2.6,52007,66368,30052,52.8,2.46,415169
59840,13918,6241,2.33,2.2,58.7,545.29,219736,2.3,41646,60151,26965,47.6,4.62,272845
59843,467,208,-0.98,2.27,58.5,413.05,230947,2.6,47917,66041,28930,51.5,3.4,425332
59844,577,242,-0.36,2.29,58.8,730.85,154284,2.6,48613,55862,24477,48.7,0.66,263150
59845,1185,583,1.33,2,59.1,383.02,93747,2.3,29714,38735,19375,51.7,0.19,231159
59846,1757,686,4.51,2.48,54.3,570.87,285781,3,72606,95412,38131,47.3,4.14,600573
59847,5716,2168,3.51,2.65,48.9,671.24,229745,2.8,70348,78994,29834,37.5,3.18,235370
59848,84,42,1.43,1.97,59.3,369.04,86973,2.3,28881,37745,19192,52.2,0.2,243750
59853,914,405,0.08,2.23,59.3,600.79,254317,2.6,47703,56756,25994,51.5,1.21,324311
59854,256,108,0.47,2.31,58.6,414,240133,2.6,46382,66062,28839,51.6,3.91,429569
59858,1764,854,5.39,2.02,60.5,492.09,204074,2.6,54387,67296,33359,56.2,3.44,234468
59859,3480,1538,-1.02,2.19,59.4,524.86,155515,2.5,36700,44122,20346,50.5,0.68,179840
59860,10319,4279,1.38,2.37,54.9,541.12,220882,2.3,34963,48167,20990,41.4,1.13,174412
59863,149,59,0.69,2.55,55,510,171971,2.7,44543,55708,21609,39.1,0,0
59864,7717,2795,1.82,2.64,51.7,466.32,166963,2.5,35790,50103,19370,34,1.55,302715
59865,3143,1192,1.78,2.61,55,502.25,164579,2.7,41462,53816,20702,37.9,1.46,204035
59866,1229,570,2.3,2.17,57.8,433.76,177685,2.5,39844,50078,22965,51,1.09,224398
59867,39,17,2.38,2.17,57.9,426.93,183064,2.5,40079,50361,23064,51,1.1,223925
59868,1173,557,3.87,2.1,58.7,500.67,235224,2.5,41884,56680,26829,53.6,3.96,212928
59870,9994,4150,2.76,2.39,56,786.26,257715,2.6,56928,68227,28635,46,2.56,328969
59871,333,165,3.23,2.02,61.3,392.51,176013,2.6,34544,48180,23093,53.5,1.97,211673
59872,2301,1058,0.69,2.19,59.4,400.07,199134,2.4,39350,47531,21912,52.6,0.72,232035
59873,2908,1338,0.72,2.16,59.4,539.03,171959,2.6,36799,47933,22307,50.9,1.37,308032
59874,1783,792,0.03,2.24,59.9,623.78,228555,2.6,39737,52347,23343,53.4,1.32,398624
59875,3948,1599,2.48,2.47,58.1,542.72,230177,2.5,48262,60004,24527,46.3,4.06,243132
59901,55113,22428,4.98,2.43,52.9,657.28,212680,2.4,54318,67865,27749,40.5,3.62,268150
59903,0,0,,,,,,,,,,,,
59904,0,0,,,,,,,,,,,,
59910,443,182,0.31,2.36,60.2,692.97,382936,2.4,54667,83732,34957,51.3,3.59,638273
59911,8213,3664,4.28,2.21,59.7,580.03,322463,2.4,58132,82499,37394,52.7,5.5,392973
59912,13488,5350,5.36,2.49,52.9,779.05,211031,2.6,51812,65798,26916,41.9,2.1,306870
59914,413,176,0.37,2.35,61.2,670.02,399520,2.4,56675,85228,36438,52.9,3.24,766379
59915,265,111,0.31,2.36,60.8,694.97,397106,2.4,55402,85424,36019,52.2,3.2,764456
59916,1377,632,3.13,2.18,55.8,554.48,155708,2.6,58437,62952,28584,48,0.81,233383
59917,4394,1924,-2.2,2.23,58.8,599.61,197976,2.6,39508,51716,23414,48,1.34,252848
59918,0,0,,,,,,,,,,,,
59919,0,0,,,,,,,,,,,,
59920,1175,457,5.74,2.48,55,577.47,243155,2.7,51280,63870,25751,45.4,3.05,282233
59922,2308,903,4.75,2.35,56.9,825.56,301787,2.6,67325,84747,35432,45.4,3.99,451577
59923,9969,4526,-2.5,2.18,58.6,413.92,147158,2.5,42949,54186,24604,48.7,1.8,238746
59925,983,394,5.73,2.47,55.6,498.98,242300,2.7,49379,59970,24572,46.1,2.9,225280
59926,223,101,3.54,2.19,55.2,531.7,138858,2.6,54028,58537,26413,46.8,0.66,201783
59928,447,204,5.79,2.1,56.1,592.2,179298,2.6,59605,79479,36910,49.2,4.61,361229
59929,117,53,2.3,2.17,60.7,762.7,344180,2.4,60561,90187,40970,54.8,7.59,425910
59930,1461,628,-2.54,2.35,58.6,483,224194,2.6,39816,56314,24651,49.2,1.84,380018
59931,371,172,2.4,2.16,61.3,813.01,362388,2.4,59867,90236,41653,56.2,8.61,378590
59932,1520,633,4.73,2.39,57.4,702.81,270035,2.6,68977,116934,48869,47.5,15.22,403733
59935,3384,1560,-3.07,2.12,58.8,432.8,177386,2.7,39585,50791,23918,51.4,1.52,177125
59937,13608,6069,5.01,2.23,53,682.67,323552,2.5,56348,75248,33931,43.7,5.16,308003
60002,24528,9206,0.26,2.67,52.5,792.25,231185,2.4,92472,104180,39344,41,9.02,283314
60004,50387,19932,1.25,2.5,55,1207.5,325788,2.2,95897,113367,45536,44.7,14.9,273471
60005,28458,11850,1.08,2.38,53.1,1034.67,294671,2.1,85338,102913,43350,43.3,12.71,261807
60007,33700,13643,1.14,2.47,53.4,1044.68,249096,2.2,78833,93739,37903,43.1,7.88,264315
60008,23360,8916,0.96,2.6,51.3,1182.35,241591,2.2,76819,90389,35736,40.3,7.73,262086
60009,0,0,,,,,,,,,,,,
60010,44307,16017,0.76,2.75,56.3,1232.21,510815,2.5,133918,172131,63116,46,30.51,343703
60011,0,0,,,,,,,,,,,,
60012,10231,3509,-0.35,2.9,53.2,1147.36,300692,2.5,106055,127250,43916,42.5,17.35,309656
60013,26652,8936,-0.19,2.98,51.4,1092.16,264751,2.6,115645,128079,42921,38.8,17.63,261987
60014,48111,16914,-0.4,2.83,51.3,1115.12,225041,2.4,93607,109703,39027,38,11.11,316360
60015,27135,9699,0.2,2.71,55.5,1468.26,538418,2.3,146636,179320,65040,43.8,33.39,337789
60016,58669,23704,1.25,2.45,53.2,959.69,223402,2,70467,83525,35069,42.3,6.2,278071
60017,0,0,,,,,,,,,,,,
60018,30596,10606,0.99,2.85,54.1,927.46,235557,2.2,67780,83119,29887,40.8,5.69,276528
60020,10334,4516,0.89,2.28,53.6,803.11,172571,2.2,70767,82071,35803,42.2,5.36,248297
60021,5116,1933,-0.24,2.65,51.9,817.81,270012,2.5,100176,111319,41730,41.8,16.34,230700
60022,7613,2622,1.4,2.89,55.9,1210.91,893957,2.5,212787,271199,93813,44.9,52.45,421013
60025,39481,14698,1.23,2.65,56.2,1269.15,428701,2.3,109406,130192,48925,45.1,20.41,292062
60026,13187,5069,2.07,2.57,57.4,1401.47,591463,2.2,119358,162051,63397,46.2,28.17,353566
60029,452,169,0.73,2.67,56.9,1310,532804,2.6,130711,153308,56714,44.1,31.4,290753
60030,38495,14130,0.72,2.72,50.8,913.59,234673,2.4,102682,118017,43219,38.5,14.96,288178
