ZIP_Code,zip5_HH,charity,church,education,political,assets,savings,checking,USbond,securities,coll_tuition,elem_HS,other_gift
01581,7424,386.3,822.5,91.9,11.9,132247.3,20168.9,44392.6,662.3,66952.5,1767.8,266.4,713.5
01583,2437,354.6,857.4,86.5,13,109292.2,15599,34257.1,641.3,59616.7,1107.8,225,610.1
01585,2194,304.1,803.1,71.2,11.8,87349.4,13812.6,25003,546.9,48523.2,976.9,194.8,564
01586,0,,,,,,,,,,,,
01588,4156,315.2,791,76.2,11.5,97524.3,14525.3,29655.7,583.1,53464.6,1048.8,215.4,547.9
01590,3070,482.4,966,125.5,16,166508.1,19934.2,58746.1,907.4,88475.3,1470.2,312.3,653.4
01601,0,,,,,,,,,,,,
01602,9048,286.2,776.3,67.4,10.7,86446.5,13994.3,25476.5,519,47017.3,1060,188.8,555.9
01603,7838,191.3,642.6,40.4,7.2,52156.2,11187.4,12262.5,337.8,28895,936.8,138,481.4
01604,14923,220.9,681,49.3,8.4,63901.5,12021.5,16768.7,395.8,35102.9,949.2,148.5,491.6
01605,10533,204,645,45.9,7.6,60876,11175.5,16467.3,377.8,33400,896.2,138.1,452.4
01606,8394,265,753.4,61.6,9.9,78141.4,13048.4,22192.6,481.7,42835.5,994,178.5,519.3
01607,3596,190.5,652.8,41.7,7.3,53608,10647.5,13281.5,346.8,29769.3,869.4,134.9,438.4
01608,1575,153.2,532.9,32,5.6,45602.8,9294.5,11018.9,295.8,25593.5,818.9,103.6,376.1
01609,7604,219.7,630.5,50,7.9,68724,11710.8,19772,410.7,37560.6,980.8,138.5,468.4
01610,7538,155,559,32,5.7,43949.8,9590.2,9961,284.8,24661.5,850.4,112.4,398.1
01611,759,304.3,820.6,72,11.2,89138.5,14313.2,25779.4,545.5,48914.8,1043.3,209.9,561.5
01612,1470,422.6,939,106.6,15.5,134824.6,17938.5,44638.7,763.6,72465.4,1308.3,274.7,657.1
01613,329,123.3,498.1,23.4,4.6,35532.7,8746.3,6877.2,239.4,20097.3,815,73.7,354.2
01614,0,,,,,,,,,,,,
01653,0,,,,,,,,,,,,
01701,12932,378.3,868.3,92.8,13.1,122648.6,17648.4,40266.5,676.4,64656.1,1377.5,249.7,650.4
01702,14416,238.7,670,54.6,8.5,74596.9,13252.4,21300.8,425.4,39940.4,1103.4,165.6,507.7
01703,0,,,,,,,,,,,,
01704,0,,,,,,,,,,,,
01718,0,,,,,,,,,,,,
01719,1959,431.9,869.2,104.2,12.7,151232.4,21437.9,52483.8,753.5,76331.5,1907.9,296.1,725.6
01720,8261,438.7,871.4,106.1,13,154798.6,22046.5,54149.1,758.4,77508.7,1972.9,306,747.5
01721,6462,399.3,871.9,98.3,13,134216.8,18850.6,45247.7,725.5,69884.2,1524.3,274.9,651.9
01730,5217,443.2,891.7,111.2,13.8,155208.3,20337.1,54604.7,792.7,80113.8,1645.7,283.6,711.8
01731,523,264.7,752.9,66.2,9.2,84652.2,14049.3,24880.4,458.4,45401.6,1151.9,248.4,461.5
01740,1642,524,974.2,138.5,15.9,190489.4,21543.1,70134.1,1002.4,99772.6,1655.4,340.8,667.6
01741,1560,560.2,1001.3,145.3,16.5,205043.1,24011.4,75918.7,1030.8,105307.9,1974,360.5,758.9
01742,6542,512.7,950.2,134.2,16.4,185037.2,21551.4,67439.8,952.9,96714.5,1636.6,310.6,726
01745,178,385.9,847.6,95.4,13,128263,17485.8,43179.8,697.8,67836.5,1385.3,250.7,641
01746,4956,453.5,931.4,116.6,15,155723.2,19352.9,54495.3,848.9,82385,1466.9,301,648.5
01747,2207,398.8,883.7,100.4,14.2,130675.1,17578.4,43121.3,736,70219.5,1282.3,263.6,627.8
01748,5414,492,955.7,128.4,15.3,175412.9,21021.5,63183.3,927.9,91660.7,1658.3,342.3,657.1
01749,7992,340.2,825.6,82.8,12.3,106102.5,15565.3,33270.7,614.8,57355.1,1169.8,227.9,586.9
01752,16545,319.4,777.1,77,11.2,102685.8,15569.5,32254.5,578,54871.5,1223.5,214.6,573.2
01754,4512,354.2,829.3,87.1,12.8,113420.5,16240.8,36120,653.6,61122.5,1211.4,235.3,588.4
01756,1972,416.4,920.4,105.5,14.4,136497.9,17824.7,45679.7,776.6,73387.2,1304.6,286,616
01757,11384,308.4,782.2,74.1,11.1,95551.9,14508.2,29085.6,563,52058.5,1084.5,206.9,551.8
01760,13853,389.4,847.5,96.6,13.1,131048.1,18268.5,44051.3,705.2,68765.4,1451.2,257.8,648.2
01770,1424,553,1002.7,146.4,16.9,201510.4,22580.7,74648.2,1041.9,105193.5,1748.9,353.9,717.3
01772,3363,503.6,958.8,129.3,15.3,180211.1,22094.4,65225.1,922.4,92940.4,1795.8,337.6,710.8
01773,2132,523.9,972.9,135.7,16.5,188044.4,22346.6,68432.3,957.6,97505.1,1748.9,317.4,754.6
01775,2584,474.5,945.2,122.7,15.1,165692.2,19989.4,59046.8,885.9,87273.4,1515,308.8,667.6
01776,6208,582.3,1022.5,154.3,17,216551.4,24347.9,81158.4,1090.8,111540.8,1949.7,386.6,738.7
01778,5190,485.6,941.1,122.8,15.1,170736,21670.3,61097.7,871.8,87908.2,1762.9,316.3,750
01784,0,,,,,,,,,,,,
01801,16531,320,796,76.2,11.5,99864.8,15809.2,30723.6,562.7,53235,1237.3,210.6,609.4
01803,9679,373.5,844.7,89.4,12.5,121830.9,18684.8,39990.5,637,62790.6,1556.5,249.2,705.5
01805,0,,,,,,,,,,,,
01810,11668,460.2,904.8,115.3,14.1,162523.7,21275.9,57577.2,828.6,83402,1762.5,301.9,716.3
01812,0,,,,,,,,,,,,
